,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
234,59,liam plunkett,7,7,25.0,225,4,3/17,56.25,9.0,37.5,0,0
235,60,karn sharma,6,5,9.0,89,4,4/16,22.25,9.36,14.25,0,0
236,61,shahbaz nadeem,6,6,15.0,161,3,3/16,53.66,10.73,30.0,0,0
237,62,axar patel,9,8,26.0,218,3,4/21,72.66,8.38,52.0,0,0
238,63,mohammad shami,4,4,14.0,144,3,3/15,48.0,10.4,27.66,0,0
239,64,corey anderson,3,3,8.0,115,3,2/18,38.33,13.26,17.33,0,0
240,65,km asif,2,2,6.0,75,3,2/43,25.0,12.5,12.0,0,0
241,66,moeen ali,5,5,13.0,97,3,3/7,32.33,7.36,26.33,0,0
242,67,murugan ashwin,2,2,7.0,53,3,3/21,17.66,7.57,14.0,0,0
243,68,marcus stoinis,7,6,11.0,120,3,4/15,40.0,10.9,22.0,0,0
244,69,chris morris,4,4,14.0,143,3,4/23,47.66,10.21,28.0,0,0
245,70,colin de grandhomme,9,7,15.0,129,2,3/4,64.5,8.6,45.0,0,0
246,71,vinay kumar,2,2,4.0,65,2,4/40,32.5,16.95,11.5,0,0
247,72,david willey,3,3,10.0,95,2,1/24,47.5,9.5,30.0,0,0
248,73,mitchell johnson,6,6,21.0,216,2,3/26,108.0,10.28,63.0,0,0
249,74,kulwant khejroliya,3,3,11.0,107,2,2/33,53.5,9.87,32.5,0,0
250,75,javon searles,4,3,7.0,89,2,1/24,44.5,12.71,21.0,0,0
251,76,ben cutting,9,7,17.0,168,2,2/20,84.0,9.88,51.0,0,0
252,77,pawan negi,2,2,4.0,49,1,4/18,49.0,12.25,24.0,0,0
253,78,d'arcy short,7,2,3.0,19,1,1/10,19.0,6.33,18.0,0,0
254,79,anureet singh,3,3,4.0,42,1,3/23,42.0,10.5,24.0,0,0
255,80,vijay shankar,13,4,5.0,58,1,2/19,58.0,11.6,30.0,0,0
256,81,yusuf pathan,15,1,2.0,14,1,3/20,14.0,7.0,12.0,0,0
257,82,mohammad nabi,2,2,5.0,47,1,4/11,47.0,9.4,30.0,0,0
258,1,imran tahir,17,17,64.0,431,26,4/12,16.57,6.69,14.84,2,0
259,2,kagiso rabada,12,12,47.0,368,25,4/21,14.72,7.82,11.28,2,0
260,3,deepak chahar,17,17,64.0,482,22,4/13,21.9,7.47,17.59,0,0
261,4,shreyas gopal,14,14,48.0,347,20,4/16,17.35,7.22,14.4,0,0
262,5,mohammad shami,14,14,54.0,469,19,3/15,24.68,8.68,17.05,0,0
263,6,khaleel ahmed,9,9,35.0,287,19,3/21,15.1,8.23,11.0,0,0
264,7,jasprit bumrah,16,16,61.0,409,19,4/14,21.52,6.63,19.47,0,0
265,8,yuzvendra chahal,14,14,49.0,386,18,4/25,21.44,7.82,16.44,1,0
266,9,rashid khan,15,15,60.0,377,17,3/19,22.17,6.28,21.17,0,0
267,10,lasith malinga,12,12,45.0,438,16,5/13,27.37,9.76,16.81,2,0
268,11,harbhajan singh,11,11,44.0,312,16,5/18,19.5,7.09,16.5,0,0
269,12,ravichandran ashwin,14,14,55.0,400,15,4/34,26.66,7.27,22.0,0,0
270,13,ravindra jadeja,16,16,54.0,343,15,5/16,22.86,6.35,21.6,0,0
271,14,hardik pandya,16,16,42.0,390,14,3/20,27.85,9.17,18.21,0,0
272,15,chris morris,9,9,33.0,306,13,4/23,23.53,9.27,15.23,0,0
273,16,rahul chahar,13,13,47.0,308,13,4/27,23.69,6.55,21.69,0,0
274,17,ishant sharma,13,13,46.0,349,13,5/12,26.84,7.58,21.23,0,0
275,18,bhuvneshwar kumar,15,15,59.0,461,13,5/19,35.46,7.81,27.23,0,0
276,19,krunal pandya,16,16,46.0,335,12,3/14,27.91,7.28,23.0,0,0
277,20,sandeep sharma,11,11,42.0,352,12,4/20,29.33,8.25,21.33,0,0
278,21,dwayne bravo,12,12,41.0,330,11,4/22,30.0,8.01,22.45,0,0
279,22,amit mishra,11,11,40.0,270,11,5/17,24.54,6.75,21.81,0,0
280,23,andre russell,14,12,30.0,287,11,5/15,26.09,9.51,16.45,0,0
281,24,navdeep saini,13,13,48.0,397,11,2/24,36.09,8.27,26.18,0,0
282,25,jofra archer,11,11,43.0,291,11,3/15,26.45,6.76,23.45,0,0
283,26,sam curran,9,9,33.0,323,10,4/11,32.3,9.78,19.8,1,0
284,27,axar patel,14,14,51.0,364,10,4/21,36.4,7.13,30.6,0,0
285,28,piyush chawla,13,13,44.0,399,10,4/17,39.9,8.96,26.7,0,0
286,29,sunil narine,12,12,44.0,347,10,5/19,34.7,7.82,26.6,0,0
287,30,jaydev unadkat,11,11,37.0,398,10,5/25,39.8,10.66,22.4,0,0
288,31,keemo paul,8,8,27.0,237,9,3/17,26.33,8.72,18.11,0,0
289,32,shardul thakur,10,9,30.0,281,8,3/19,35.12,9.36,22.5,0,0
290,33,mohammad nabi,8,8,29.0,194,8,4/11,24.25,6.65,21.87,1,0
291,34,umesh yadav,11,11,38.0,371,8,4/24,46.37,9.8,28.37,0,0
292,35,sandeep lamichhane,6,6,23.0,210,8,3/36,26.25,9.13,17.25,0,0
293,36,mohammed siraj,9,9,28.0,269,7,4/32,38.42,9.55,24.14,0,0
294,37,harry gurney,8,8,27.0,238,7,2/25,34.0,8.81,23.14,0,0
295,38,hardus viljoen,6,6,23.0,222,7,2/39,31.71,9.65,19.71,0,0
296,39,siddarth kaul,7,7,27.0,242,6,4/29,40.33,8.96,27.0,0,0
297,40,moeen ali,11,9,25.0,169,6,3/7,28.16,6.76,25.0,0,0
298,41,alzarri joseph,3,3,8.0,87,6,6/12,14.5,10.03,8.66,0,1
299,42,dhawal kulkarni,10,10,35.0,335,6,4/14,55.83,9.57,35.0,0,0
300,43,ben stokes,9,6,17.0,189,6,3/15,31.5,11.22,16.83,0,0
301,44,jason behrendorff,5,5,19.0,165,5,2/22,33.0,8.68,22.8,0,0
302,45,trent boult,5,5,19.0,163,5,4/18,32.6,8.57,22.8,0,0
303,46,oshane thomas,4,4,10.0,79,5,2/6,15.8,7.9,12.0,0,0
304,47,murugan ashwin,10,10,34.0,255,5,3/21,51.0,7.5,40.8,0,0
305,48,washington sundar,3,3,9.0,74,4,3/16,18.5,8.22,13.5,0,0
306,49,dale steyn,2,2,8.0,69,4,3/11,17.25,8.62,12.0,0,0
307,50,ish sodhi,2,2,7.0,67,4,3/26,16.75,9.34,10.75,0,0
308,51,prasidh krishna,11,11,40.0,377,4,4/30,94.25,9.34,60.5,0,0
309,52,kuldeep yadav,9,9,33.0,286,4,4/20,71.5,8.66,49.5,0,0
310,53,mitchell santner,4,4,14.0,94,4,2/13,23.5,6.71,21.0,0,0
311,54,varun aaron,5,5,12.0,116,4,3/16,29.0,9.66,18.0,0,0
312,55,mujeeb ur rahman,5,5,19.0,191,3,3/27,63.66,10.05,38.0,0,0
313,56,arshdeep singh,3,3,10.0,109,3,5/32,36.33,10.9,20.0,0,0
314,57,nitish rana,14,6,8.0,72,3,2/11,24.0,9.0,16.0,0,0
315,58,ankit rajpoot,4,4,16.0,152,3,5/14,50.66,9.5,32.0,0,0
316,59,pawan negi,7,4,11.0,102,3,4/18,34.0,9.13,22.33,0,0
317,60,andrew tye,6,6,22.0,233,3,5/17,77.66,10.59,44.0,0,0
318,61,mitchell mcclenaghan,5,5,18.0,142,3,4/21,47.33,7.88,36.0,0,0
319,62,shakib al hasan,3,3,11.0,95,2,3/17,47.5,8.76,32.5,0,0
320,63,shahbaz nadeem,3,3,9.0,90,2,3/16,45.0,10.0,27.0,0,0
321,64,scott kuggeleijn,2,2,8.0,71,2,2/37,35.5,8.87,24.0,0,0
322,65,sandeep warrier,3,3,12.0,85,2,2/31,42.5,7.08,36.0,0,0
323,66,marcus stoinis,10,6,16.0,145,2,4/15,72.5,8.7,50.0,0,0
324,67,riyan parag,7,7,14.0,121,2,1/10,60.5,8.64,42.0,0,0
325,68,harshal patel,2,2,8.0,77,2,5/27,38.5,9.62,24.0,0,0
326,69,rahul tewatia,5,3,6.0,42,2,3/18,21.0,6.63,19.0,0,0
327,70,jagadeesha suchith,1,1,4.0,28,2,2/14,14.0,7.0,12.0,0,0
328,71,lockie ferguson,5,5,17.0,183,2,3/15,91.5,10.76,51.0,0,0
329,72,abhishek sharma,3,2,2.0,21,1,2/4,21.0,10.5,12.0,0,0
330,73,deepak hooda,11,2,2.0,21,1,2/16,21.0,10.5,12.0,0,0
331,74,vijay shankar,15,5,8.0,70,1,2/19,70.0,8.75,48.0,0,0
332,75,varun chakaravarthy,1,1,3.0,35,1,5/20,35.0,11.66,18.0,0,0
333,76,mayank markande,3,3,6.0,59,1,4/23,59.0,9.83,36.0,0,0
334,77,kulwant khejroliya,2,2,5.0,47,1,2/33,47.0,9.4,30.0,0,0
335,78,krishnappa gowtham,7,7,20.0,166,1,2/12,166.0,8.3,120.0,0,0
336,79,tim southee,3,3,9.0,118,1,3/24,118.0,13.11,54.0,0,0
337,80,karn sharma,1,1,3.0,33,1,4/16,33.0,11.64,17.0,0,0
338,81,stuart binny,8,5,7.0,44,1,2/14,44.0,6.28,42.0,0,0
339,82,anukul roy,1,1,2.0,11,1,1/11,11.0,5.5,12.0,0,0
340,83,mohit sharma,1,1,3.0,27,1,4/14,27.0,9.0,18.0,0,0
341,84,sherfane rutherford,7,6,7.0,59,1,1/6,59.0,8.63,41.0,0,0
342,85,ben cutting,3,1,2.0,27,1,2/20,27.0,13.5,12.0,0,0
343,86,jayant yadav,2,2,7.0,50,1,1/23,50.0,7.14,42.0,0,0
344,87,prithvi raj yarra,2,2,5.0,57,1,1/29,57.0,11.4,30.0,0,0
345,1,kagiso rabada,17,17,65.0,548,30,4/21,18.26,8.34,13.13,2,0
346,2,jasprit bumrah,15,15,60.0,404,27,4/14,14.96,6.73,13.33,2,0
347,3,trent boult,15,15,57.0,457,25,4/18,18.28,7.97,13.76,1,0
348,4,anrich nortje,16,16,61.0,512,22,3/33,23.27,8.39,16.63,0,0
349,5,yuzvendra chahal,15,15,57.0,405,21,4/25,19.28,7.08,16.33,0,0
350,6,mohammad shami,14,14,53.0,460,20,3/15,23.0,8.57,16.1,0,0
351,7,jofra archer,14,14,55.0,365,20,3/15,18.25,6.55,16.7,0,0
352,8,rashid khan,16,16,64.0,344,20,3/19,17.2,5.37,19.2,0,0
353,9,varun chakaravarthy,13,13,52.0,356,17,5/20,20.94,6.84,18.35,0,1
354,10,t natarajan,16,16,63.0,504,16,2/24,31.5,8.02,23.56,0,0
355,11,rahul chahar,15,15,53.0,433,15,4/27,28.86,8.16,21.2,0,0
356,12,jason holder,7,7,28.0,233,14,4/52,16.64,8.32,12.0,0,0
357,13,sandeep sharma,13,13,52.0,374,14,4/20,26.71,7.19,22.28,0,0
358,14,marcus stoinis,17,13,29.0,283,13,4/15,21.76,9.53,13.69,0,0
359,15,ravichandran ashwin,15,15,51.0,391,13,4/34,30.07,7.66,23.53,0,0
360,16,sam curran,14,13,42.0,344,13,4/11,26.46,8.19,19.38,0,0
361,17,pat cummins,14,14,52.0,409,12,4/34,34.08,7.86,26.0,1,0
362,18,ravi bishnoi,14,14,51.0,376,12,3/24,31.33,7.37,25.5,0,0
363,19,deepak chahar,14,14,52.0,396,12,4/13,33.0,7.61,26.0,0,0
364,20,mohammed siraj,9,9,27.0,236,11,4/32,21.45,8.68,14.81,0,0
365,21,james pattinson,10,10,35.0,320,11,2/19,29.09,9.01,19.36,0,0
366,22,chris morris,9,9,31.0,210,11,4/23,19.09,6.63,17.27,1,0
367,23,shreyas gopal,14,14,50.0,427,10,4/16,42.7,8.54,30.0,0,0
368,24,murugan ashwin,9,9,31.0,235,10,3/21,23.5,7.46,18.9,0,0
369,25,shardul thakur,9,9,32.0,275,10,3/19,27.5,8.5,19.4,0,0
370,26,rahul tewatia,14,14,46.0,326,10,3/18,32.6,7.08,27.6,0,0
371,27,lungi ngidi,4,4,16.0,167,9,4/10,18.55,10.43,10.66,0,0
372,28,kartik tyagi,10,10,38.0,367,9,2/29,40.77,9.61,25.44,0,0
373,29,arshdeep singh,8,8,25.0,218,9,5/32,24.22,8.77,16.55,0,0
374,30,axar patel,15,15,51.0,327,9,4/21,36.33,6.41,34.0,0,0
375,31,shivam mavi,8,8,26.0,212,9,4/21,23.55,8.15,17.33,0,0
376,32,chris jordan,9,9,31.0,304,9,4/11,33.77,9.65,21.0,0,0
377,33,khaleel ahmed,7,7,25.0,242,8,3/21,30.25,9.42,19.25,0,0
378,34,isuru udana,10,10,29.0,282,8,2/41,35.25,9.72,21.75,0,0
379,35,washington sundar,15,15,50.0,298,8,3/16,37.25,5.96,37.5,0,0
380,36,piyush chawla,7,7,21.0,191,6,4/17,31.83,9.09,21.0,0,0
381,37,navdeep saini,13,13,45.0,379,6,2/24,63.16,8.29,45.66,0,0
382,38,sheldon cottrell,6,6,20.0,176,6,2/17,29.33,8.8,20.0,0,0
383,39,lockie ferguson,5,5,20.0,148,6,3/15,24.66,7.46,19.83,0,0
384,40,ravindra jadeja,14,13,36.0,318,6,5/16,53.0,8.75,36.33,0,0
385,41,krunal pandya,16,16,50.0,380,6,3/14,63.33,7.57,50.16,0,0
386,42,dwayne bravo,6,6,21.0,180,6,4/22,30.0,8.57,21.0,0,0
387,43,andre russell,10,7,18.0,175,6,5/15,29.16,9.72,18.0,0,0
388,44,shahbaz nadeem,7,7,22.0,178,5,3/16,35.6,8.09,26.4,0,0
389,45,nathan coulter-nile,7,7,26.0,206,5,4/14,41.2,7.92,31.2,0,0
390,46,karn sharma,5,5,19.0,165,5,4/16,33.0,8.68,22.8,0,0
391,47,kamlesh nagarkoti,10,9,26.0,231,5,2/13,46.2,8.88,31.2,0,0
392,48,sunil narine,10,10,38.0,302,5,5/19,60.4,7.94,45.6,0,0
393,49,vijay shankar,7,5,13.0,82,4,2/19,20.5,6.22,19.75,0,0
394,50,shivam dube,11,5,9.0,73,4,2/15,18.25,8.11,13.5,0,0
395,51,kieron pollard,16,11,21.0,190,4,4/44,47.5,9.04,31.5,0,0
396,52,prasidh krishna,6,6,17.0,164,4,4/30,41.0,9.37,26.25,0,0
397,53,jaydev unadkat,7,7,23.0,228,4,5/25,57.0,9.91,34.5,0,0
398,54,bhuvneshwar kumar,4,4,14.0,99,3,5/19,33.0,6.98,28.33,0,0
399,55,glenn maxwell,13,7,21.0,169,3,2/15,56.33,8.04,42.0,0,0
400,56,harshal patel,5,5,15.0,134,3,5/27,44.66,8.93,30.0,0,0
401,57,tom curran,5,5,18.0,208,3,3/29,69.33,11.44,36.33,0,0
402,58,tushar deshpande,5,5,17.0,192,3,2/37,64.0,11.29,34.0,0,0
403,59,amit mishra,3,3,10.0,72,3,5/17,24.0,7.2,20.0,0,0
404,60,ankit rajpoot,6,6,17.0,199,2,5/14,99.5,11.7,51.0,0,0
405,61,siddarth kaul,1,1,4.0,64,2,4/29,32.0,16.0,12.0,0,0
406,62,ben stokes,8,6,15.0,154,2,3/15,77.0,10.26,45.0,0,0
407,63,adam zampa,3,3,11.0,92,2,6/19,46.0,8.36,33.0,0,0
408,64,abhishek sharma,8,6,10.0,91,2,2/4,45.5,9.1,30.0,0,0
409,65,shahbaz ahmed,2,2,6.0,44,2,3/7,22.0,7.33,18.0,0,0
410,66,jimmy neesham,5,5,15.0,148,2,3/12,74.0,9.86,45.0,0,0
411,67,mitchell santner,2,2,7.0,53,2,2/13,26.5,7.57,21.0,0,0
412,68,dale steyn,3,3,11.0,133,1,3/11,133.0,11.4,70.0,0,0
413,69,basil thampi,1,1,4.0,46,1,3/29,46.0,11.5,24.0,0,0
414,70,imran tahir,3,3,11.0,76,1,4/12,76.0,6.9,66.0,0,0
415,71,jayant yadav,2,2,7.0,43,1,1/23,43.0,6.14,42.0,0,0
416,72,andrew tye,1,1,4.0,50,1,5/17,50.0,12.5,24.0,0,0
417,73,josh hazlewood,3,3,10.0,64,1,3/24,64.0,6.4,60.0,0,0
418,74,mohit sharma,1,1,4.0,45,1,4/14,45.0,11.25,24.0,0,0
419,75,krishnappa gowtham,2,2,8.0,84,1,2/12,84.0,10.5,48.0,0,0
420,76,moeen ali,3,3,5.0,42,1,3/7,42.0,8.4,30.0,0,0
421,77,kuldeep yadav,5,4,12.0,92,1,4/20,92.0,7.66,72.0,0,0
422,78,abdul samad,12,3,7.0,96,1,1/41,96.0,13.71,42.0,0,0
423,1,harshal patel,15,15,56.0,459,32,5/27,14.34,8.14,10.56,1,1
424,2,avesh khan,16,16,61.0,450,24,3/13,18.75,7.37,15.25,0,0
425,3,jasprit bumrah,14,14,55.0,410,21,4/14,19.52,7.45,15.71,0,0
426,4,shardul thakur,16,16,60.0,527,21,3/19,25.09,8.8,17.09,0,0
427,5,mohammad shami,14,14,52.0,395,19,3/15,20.78,7.5,16.63,0,0
428,6,rashid khan,14,14,56.0,375,18,3/19,20.83,6.69,18.66,0,0
429,7,arshdeep singh,12,12,41.0,342,18,5/32,19.0,8.27,13.77,0,1
430,8,varun chakaravarthy,17,17,68.0,448,18,5/20,24.88,6.58,22.66,0,0
431,9,yuzvendra chahal,15,15,53.0,374,18,4/25,20.77,7.05,17.66,0,0
432,10,jason holder,8,8,32.0,247,16,4/52,15.43,7.75,11.93,1,0
433,11,sunil narine,14,14,56.0,361,16,5/19,22.56,6.44,21.0,1,0
434,12,chris morris,11,11,41.0,376,15,4/23,25.06,9.17,16.4,1,0
435,13,axar patel,12,12,46.0,306,15,4/21,20.4,6.65,18.4,0,0
436,14,kagiso rabada,15,15,56.0,456,15,4/21,30.4,8.14,22.4,0,0
437,15,chetan sakariya,14,14,52.0,426,14,3/31,30.42,8.19,22.28,0,0
438,16,deepak chahar,15,15,54.0,451,14,4/13,32.21,8.35,23.14,2,0
439,17,dwayne bravo,11,11,33.0,263,14,4/22,18.78,7.81,14.42,0,0
440,18,mustafizur rahman,14,14,52.0,436,14,3/16,31.14,8.41,22.21,0,0
441,19,ravindra jadeja,16,16,49.0,346,13,5/16,26.61,7.06,22.61,0,0
442,20,lockie ferguson,8,8,30.0,224,13,3/15,17.23,7.46,13.84,0,0
443,21,trent boult,14,14,51.0,406,13,4/18,31.23,7.9,23.69,0,0
444,22,rahul chahar,11,11,43.0,318,13,4/27,24.46,7.39,19.84,1,0
445,23,ravi bishnoi,9,9,35.0,222,12,3/24,18.5,6.34,17.5,0,0
446,24,anrich nortje,8,8,30.0,187,12,3/33,15.58,6.16,15.16,0,0
447,25,prasidh krishna,10,10,38.0,351,12,4/30,29.25,9.11,19.25,0,0
448,26,shivam mavi,9,9,32.0,233,11,4/21,21.18,7.24,17.54,1,0
449,27,josh hazlewood,9,9,35.0,293,11,3/24,26.63,8.37,19.09,0,0
450,28,mohammed siraj,15,15,52.0,353,11,4/32,32.09,6.78,28.36,0,0
451,29,andre russell,10,8,19.0,188,11,5/15,17.09,9.89,10.36,0,1
452,30,pat cummins,7,7,27.0,237,9,4/34,26.33,8.83,17.88,0,0
453,31,sam curran,9,9,33.0,328,9,4/11,36.44,9.93,22.0,0,0
454,32,kyle jamieson,9,9,28.0,269,9,3/41,29.88,9.6,18.66,0,0
455,33,rahul tewatia,14,13,37.0,340,8,3/18,42.5,9.18,27.75,0,0
456,34,siddarth kaul,8,8,30.0,247,7,4/29,35.28,8.23,25.71,0,0
457,35,nathan coulter-nile,5,5,20.0,127,7,4/14,18.14,6.35,17.14,1,0
458,36,ravichandran ashwin,13,13,44.0,331,7,4/34,47.28,7.41,38.28,0,0
459,37,shahbaz ahmed,11,6,14.0,92,7,3/7,13.14,6.57,12.0,0,0
460,38,amit mishra,4,4,14.0,109,6,5/17,18.16,7.78,14.0,1,0
461,39,bhuvneshwar kumar,11,11,42.0,335,6,5/19,55.83,7.97,42.0,0,0
462,40,moeen ali,15,10,25.0,161,6,3/7,26.83,6.35,25.33,0,0
463,41,lungi ngidi,3,3,12.0,125,5,4/10,25.0,10.41,14.4,0,0
464,42,chris woakes,3,3,11.0,82,5,3/36,16.4,7.45,13.2,0,0
465,43,krunal pandya,13,12,33.0,265,5,3/14,53.0,7.98,39.8,0,0
466,44,jimmy neesham,3,3,9.0,66,5,3/12,13.2,7.33,10.8,0,0
467,45,harpreet brar,7,7,23.0,139,5,3/19,27.8,6.04,27.6,0,0
468,46,kieron pollard,14,9,13.0,95,5,4/44,19.0,7.21,15.8,0,0
469,47,khaleel ahmed,7,7,27.0,219,5,3/21,43.8,8.11,32.4,0,0
470,48,abhishek sharma,8,6,10.0,64,4,2/4,16.0,6.4,15.0,0,0
471,49,lalit yadav,7,5,14.0,101,4,2/13,25.25,7.21,21.0,0,0
472,50,jaydev unadkat,6,6,22.0,168,4,5/25,42.0,7.63,33.0,0,0
473,51,tom curran,3,3,11.0,104,4,3/29,26.0,9.17,17.0,0,0
474,52,chris jordan,4,4,12.0,96,4,4/11,24.0,8.0,18.0,0,0
475,53,kartik tyagi,4,4,14.0,124,4,2/29,31.0,8.85,21.0,0,0
476,54,moises henriques,5,5,10.0,45,4,3/12,11.25,4.5,15.0,0,0
477,55,dan christian,9,9,16.0,155,4,2/10,38.75,9.3,25.0,0,0
478,56,riley meredith,5,5,17.0,169,4,1/29,42.25,9.94,25.5,0,0
479,57,shakib al hasan,8,8,26.0,187,4,3/17,46.75,7.19,39.0,0,0
480,58,washington sundar,6,6,16.0,118,3,3/16,39.33,7.37,32.0,0,0
481,59,venkatesh iyer,10,4,8.0,69,3,2/29,23.0,8.11,17.0,0,0
482,60,sandeep sharma,7,7,23.0,203,3,4/20,67.66,8.63,47.0,0,0
483,61,adam milne,4,4,14.0,131,3,2/21,43.66,9.35,28.0,0,0
484,62,tim southee,3,3,12.0,95,3,3/24,31.66,7.91,24.0,0,0
485,63,vijay shankar,7,5,11.0,100,3,2/19,33.33,9.09,22.0,0,0
486,64,jhye richardson,3,3,11.0,117,3,2/41,39.0,10.63,22.0,0,0
487,65,glenn maxwell,15,6,16.0,135,3,2/15,45.0,8.43,32.0,0,0
488,66,george garton,5,5,15.0,135,3,1/27,45.0,9.0,30.0,0,0
489,67,t natarajan,2,2,8.0,69,2,2/24,34.5,8.62,24.0,0,0
490,68,jayant yadav,5,5,17.0,130,2,1/23,65.0,7.64,51.0,0,0
491,69,imran tahir,1,1,4.0,16,2,4/12,8.0,4.0,12.0,0,0
492,70,umran malik,3,3,12.0,96,2,1/21,48.0,8.0,36.0,0,0
493,71,marco jansen,2,2,6.0,45,2,2/28,22.5,7.5,18.0,0,0
494,72,marcus stoinis,10,8,11.0,117,2,4/15,58.5,10.47,33.5,0,0
495,73,mohammad nabi,3,3,8.0,86,2,4/11,43.0,10.75,24.0,0,0
496,74,mujeeb ur rahman,1,1,4.0,29,2,3/27,14.5,7.25,12.0,0,0
497,75,deepak hooda,12,7,16.0,136,2,2/16,68.0,8.5,48.0,0,0
498,76,fabian allen,4,3,11.0,90,1,1/22,90.0,8.18,66.0,0,0
499,77,glenn phillips,3,2,2.0,20,1,1/17,20.0,10.0,12.0,0,0
500,78,piyush chawla,1,1,4.0,38,1,4/17,38.0,9.5,24.0,0,0
501,79,ishan porel,1,1,4.0,39,1,1/39,39.0,9.75,24.0,0,0
502,80,daniel sams,2,2,6.0,39,1,1/24,39.0,6.5,36.0,0,0
503,81,ishant sharma,3,3,12.0,97,1,5/12,97.0,8.08,72.0,0,0
504,82,kane richardson,1,1,3.0,29,1,3/13,29.0,9.66,18.0,0,0
505,83,km asif,1,1,2.0,18,1,2/43,18.0,8.3,13.0,0,0
506,84,shahbaz nadeem,1,1,4.0,36,1,3/16,36.0,9.0,24.0,0,0
507,85,lukman meriwala,1,1,3.0,32,1,1/32,32.0,10.66,18.0,0,0
508,86,mahipal lomror,4,4,7.0,47,1,1/22,47.0,6.71,42.0,0,0
509,87,riyan parag,11,6,6.0,73,1,1/10,73.0,11.83,37.0,0,0
510,88,murugan ashwin,3,3,11.0,97,1,3/21,97.0,8.81,66.0,0,0
511,89,nathan ellis,3,3,12.0,98,1,1/20,98.0,8.16,72.0,0,0
512,1,yuzvendra chahal,17,17,68.0,527,27,40/5,19.51,7.75,15.11,1,1
513,2,wanindu hasaranga,16,16,57.0,430,26,18/5,16.53,7.54,13.15,1,1
514,3,kagiso rabada,13,13,48.0,406,23,33/4,17.65,8.45,12.52,2,0
515,4,umran malik,14,14,49.1,444,22,25/5,20.18,9.03,13.4,1,1
516,5,kuldeep yadav,14,14,49.4,419,21,14/4,19.95,8.43,14.19,2,0
517,6,mohammad shami,16,16,61.0,488,20,25/3,24.4,8.0,18.3,0,0
518,7,josh hazlewood,12,12,46.3,377,20,25/4,18.85,8.1,13.95,1,0
519,8,rashid khan,16,16,63.5,421,19,24/4,22.15,6.59,20.15,1,0
520,9,harshal patel,15,15,53.3,410,19,34/4,21.57,7.66,16.89,1,0
521,10,prasidh krishna,17,17,66.3,551,19,22/3,29.0,8.28,21.0,0,0
522,11,avesh khan,13,13,47.4,416,18,24/4,23.11,8.72,15.88,1,0
523,12,t natarajan,11,11,43.0,406,18,10/3,22.55,9.44,14.33,0,0
524,13,andre russell,14,13,28.1,278,17,5/4,16.35,9.86,9.94,1,0
525,14,umesh yadav,12,12,48.0,339,16,23/4,21.18,7.06,18.0,1,0
526,15,trent boult,16,16,62.0,492,16,18/2,30.75,7.93,23.25,0,0
527,16,khaleel ahmed,10,10,39.1,315,16,25/3,19.68,8.04,14.68,0,0
528,17,dwayne bravo,10,10,34.2,299,16,20/3,18.68,8.7,12.87,0,0
529,18,mukesh choudhary,13,13,45.3,424,16,46/4,26.5,9.31,17.06,1,0
530,19,jasprit bumrah,14,14,53.2,383,15,10/5,25.53,7.18,21.33,0,1
531,20,shardul thakur,14,14,48.2,473,15,36/4,31.53,9.78,19.33,1,0
532,21,mohsin khan,9,9,33.0,197,14,16/4,14.07,5.96,14.14,1,0
533,22,rahul chahar,13,13,46.4,360,14,25/3,25.71,7.71,20.0,0,0
534,23,tim southee,9,9,35.0,275,14,20/3,19.64,7.85,15.0,0,0
535,24,jason holder,12,12,41.3,391,14,31/3,27.92,9.42,17.78,0,0
536,25,ravi bishnoi,14,14,54.0,456,13,22/2,35.07,8.44,24.92,0,0
537,26,daniel sams,11,11,42.0,370,13,30/4,28.46,8.8,19.38,1,0
